window,origin_day,candidate,wape,bias_pct,actual_units,predicted_units
cv_1830_1857,1830,trend_department,0.9333817228492687,0.01334183620281425,1175668.0,1191353.5698848902
cv_1830_1857,1830,trend_store_department,0.9305127759906296,0.005229756242594879,1175668.0,1181816.457062219
cv_1830_1857,1830,trend_store_category,0.9320319850624537,0.007386259044259133,1175668.0,1184351.788398046
cv_1830_1857,1830,trend_horizon_daily,0.9253640766819713,-0.019502589870189754,1175668.0,1152739.4291724938
cv_1830_1857,1830,direct_segment_trend,0.9292315247177737,-0.0007415449026216448,1175668.0,1174796.1893874246
cv_1830_1857,1830,blend_base_global_25,0.9044150313663419,-0.05004479790373182,1175668.0,1116831.9325381154
cv_1830_1857,1830,blend_base_global_50,0.9145164062839275,-0.03024845017791516,1175668.0,1140105.8650762308
cv_1830_1857,1830,blend_base_global_75,0.924715957449092,-0.010452102452098305,1175668.0,1163379.7976143465
cv_1858_1885,1858,seasonal_naive_28,0.9227271915630657,-0.00033926638533348866,1176067.0,1175668.0
cv_1858_1885,1858,trend_global,0.9655770493207321,0.07471357722491792,1176067.0,1263935.1726261775
cv_1858_1885,1858,trend_state,0.9670223247455362,0.0759946904303889,1176067.0,1265441.8475903962
cv_1858_1885,1858,trend_store,0.9646976316986747,0.07266854270295298,1176067.0,1261530.0750110338
cv_1858_1885,1858,trend_category,0.9656473928979536,0.07501884323210803,1176067.0,1264294.1859034556
cv_1858_1885,1858,trend_department,0.9664738129825552,0.077254162642535,1176067.0,1266923.0712965182
cv_1858_1885,1858,trend_store_department,0.9623317347106873,0.06869566156400592,1176067.0,1256857.7006085957
cv_1858_1885,1858,trend_store_category,0.9636607686442716,0.0713765569285599,1176067.0,1260010.6131773007
cv_1858_1885,1858,trend_horizon_daily,0.9664112179373385,0.06919115197514411,1176067.0,1257440.4305299518
cv_1858_1885,1858,direct_segment_trend,0.9671363725648037,0.07570316662252956,1176067.0,1265098.9960602585
cv_1858_1885,1858,blend_base_global_25,0.9333414149939124,0.018423944517229413,1176067.0,1197734.7931565444
cv_1858_1885,1858,blend_base_global_50,0.9439946580527048,0.03718715541979232,1176067.0,1219801.586313089
cv_1858_1885,1858,blend_base_global_75,0.9547321432646373,0.05595036632235502,1176067.0,1241868.379469633
cv_1886_1913,1886,seasonal_naive_28,0.9073803718404293,-0.00638630783710395,1183626.0,1176067.0
cv_1886_1913,1886,trend_global,0.9075697930390959,-0.006049122386255694,1183626.0,1176466.1014664457
cv_1886_1913,1886,trend_state,0.908297962318119,-0.005978143492478347,1183626.0,1176550.1139305718
cv_1886_1913,1886,trend_store,0.9094696621774514,-0.005696262467130293,1183626.0,1176883.7556410804
cv_1886_1913,1886,trend_category,0.9084935145879413,-0.005716209267829203,1183626.0,1176860.1460891564
cv_1886_1913,1886,trend_department,0.9088112406649171,-0.005676526111131145,1183626.0,1176907.1161051863
cv_1886_1913,1886,trend_store_department,0.9111249707458721,-0.004403964168462627,1183626.0,1178413.3535071393
cv_1886_1913,1886,trend_store_category,0.9101046922261625,-0.004656784308355247,1183626.0,1178114.1090162387
cv_1886_1913,1886,trend_horizon_daily,0.9182538646028925,-0.0038590226803709832,1183626.0,1179058.3604209232
cv_1886_1913,1886,direct_segment_trend,0.9123914814864728,-0.004854507169352632,1183626.0,1177880.0790971678
cv_1886_1913,1886,blend_base_global_25,0.907427727140096,-0.006302011474391788,1183626.0,1176166.7753666115
cv_1886_1913,1886,blend_base_global_50,0.9074750824397624,-0.006217715111679625,1183626.0,1176266.550733223
cv_1886_1913,1886,blend_base_global_75,0.9075224377394291,-0.0061334187489676594,1183626.0,1176366.3260998344
