window,candidate,horizon_segment,wape,bias_pct
cv_1830_1857,trend_horizon_daily,F22_F28,0.943125770615134,0.014122857470327897
cv_1830_1857,direct_segment_trend,F1_F7,0.9445835222256274,0.019522775193869905
cv_1830_1857,direct_segment_trend,F8_F14,0.9140572847492898,-0.032137198215980003
cv_1830_1857,direct_segment_trend,F15_F21,0.9391513001182682,0.0262207452567754
cv_1830_1857,direct_segment_trend,F22_F28,0.9189302447921688,-0.016835680282193847
cv_1830_1857,blend_base_global_25,F1_F7,0.9198055649787193,-0.02644961045525778
cv_1830_1857,blend_base_global_25,F8_F14,0.8975034429771611,-0.06517235142901276
cv_1830_1857,blend_base_global_25,F15_F21,0.8828524119670087,-0.08864212594928103
cv_1830_1857,blend_base_global_25,F22_F28,0.9191248027009826,-0.016470008221450314
cv_1830_1857,blend_base_global_50,F1_F7,0.9306709528068982,-0.006161556873886026
cv_1830_1857,blend_base_global_50,F8_F14,0.9072275918730253,-0.04569125047395596
cv_1830_1857,blend_base_global_50,F15_F21,0.8918196840344789,-0.06965011733923634
cv_1830_1857,blend_base_global_50,F22_F28,0.9300632719067116,0.004026012720434403
cv_1830_1857,blend_base_global_75,F1_F7,0.9416451565190747,0.014126496707485928
cv_1830_1857,blend_base_global_75,F8_F14,0.9170685650329438,-0.02621014951889879
cv_1830_1857,blend_base_global_75,F15_F21,0.9008745109093917,-0.05065810872919147
cv_1830_1857,blend_base_global_75,F22_F28,0.94107954288732,0.02452203366231975
cv_1858_1885,seasonal_naive_28,F1_F7,0.9188173588871593,-0.029893217263704776
cv_1858_1885,seasonal_naive_28,F8_F14,0.9310397947804304,0.02317762142213679
cv_1858_1885,seasonal_naive_28,F15_F21,0.9361885709315474,0.04432460641906584
cv_1858_1885,seasonal_naive_28,F22_F28,0.9047478240299452,-0.0383186413319511
cv_1858_1885,trend_global,F1_F7,0.9590936561849404,0.042940765508311024
cv_1858_1885,trend_global,F8_F14,0.9763006373607942,0.0999960733467529
cv_1858_1885,trend_global,F15_F21,0.9831572620782565,0.12273073834794078
cv_1858_1885,trend_global,F22_F28,0.943683745043718,0.033882774796521936
cv_1858_1885,trend_state,F1_F7,0.9604001692767177,0.044465252381083516
cv_1858_1885,trend_state,F8_F14,0.9792107439808213,0.10257569475978758
cv_1858_1885,trend_state,F15_F21,0.9838238339799593,0.1239580477233337
cv_1858_1885,trend_state,F22_F28,0.9445320508307165,0.033612641042064656
cv_1858_1885,trend_store,F1_F7,0.9582891058866735,0.041418230745313936
cv_1858_1885,trend_store,F8_F14,0.9770458608600558,0.09942565933899153
cv_1858_1885,trend_store,F15_F21,0.9810407435050561,0.12043580233116451
